trade_date,chosen_symbol,predicted_pct,actual_pct,equity
2025-01-02,CVS,0.1868,-1.973,98027.05
2025-01-03,CVS,0.188,2.3479,100328.66
2025-01-06,CVS,0.1837,-0.5642,99762.57
2025-01-07,CVS,0.1709,-1.1658,98599.53
2025-01-08,ADBE,0.1738,0.5367,99128.74
2025-01-10,ADBE,0.1797,-0.9951,98142.3
2025-01-13,ADBE,0.1895,1.0463,99169.19
2025-01-14,ADBE,0.1818,1.3407,100498.75
2025-01-15,ADBE,0.1634,-1.0481,99445.38
2025-01-16,ADBE,0.1473,2.0851,101518.89
2025-01-17,MU,0.1484,1.0608,102595.79
2025-01-21,MU,0.1648,3.7466,106439.6
2025-01-22,MU,0.1607,0.055,106498.1
2025-01-23,MU,0.1585,0.0477,106548.91
2025-01-24,MU,0.1611,-2.1896,104215.95
2025-01-27,MU,0.1736,-3.9532,100096.09
2025-01-28,DVN,0.1784,-2.2422,97851.79
2025-01-29,MU,0.187,-0.968,96904.63
2025-01-30,MU,0.1982,2.0296,98871.36
2025-01-31,MU,0.2002,-0.4474,98429.05
2025-02-03,MU,0.1992,1.4326,99839.14
2025-02-04,MU,0.1823,1.808,101644.21
2025-02-05,EA,0.1772,2.6999,104388.54
2025-02-06,EA,0.1705,1.1184,105556.06
2025-02-07,CVS,0.1763,-0.9718,104530.3
2025-02-10,CVS,0.182,-0.1839,104338.11
2025-02-11,CVS,0.1749,0.8064,105179.55
2025-02-12,UPS,0.1582,0.8028,106023.96
2025-02-13,DHR,0.1562,0.4738,106526.26
2025-02-14,EA,0.1582,-0.2621,106247.09
2025-02-18,EA,0.1719,-0.3339,105892.33
2025-02-19,EA,0.1802,0.2092,106113.84
2025-02-20,EA,0.1832,0.3164,106449.59
2025-02-21,EA,0.1836,0.6456,107136.84
2025-02-24,EA,0.1844,2.2268,109522.55
2025-02-25,EA,0.1663,-1.2667,108135.26
2025-02-26,NVDA,0.1772,0.9924,109208.37
2025-02-27,TSLA,0.19,-3.1632,105753.88
2025-02-28,TSLA,0.2196,4.8229,110854.29
2025-03-03,TSLA,0.2274,-5.2241,105063.17
2025-03-04,XYZ,0.2516,-1.5897,103393.02
2025-03-05,XYZ,0.2736,2.2074,105675.27
2025-03-06,XYZ,0.2856,1.2701,107017.46
2025-03-07,XYZ,0.2951,0.3261,107366.4
2025-03-10,XYZ,0.3075,-5.8479,101087.67
2025-03-11,XYZ,0.3245,0.9679,102066.06
2025-03-12,XYZ,0.3332,-0.8514,101197.11
2025-03-13,XYZ,0.3441,-2.3491,98819.87
2025-03-14,XYZ,0.3569,3.0991,101882.4
2025-03-17,XYZ,0.3576,3.5305,105479.31
2025-03-18,MRVL,0.3559,-1.9247,103449.11
2025-03-19,MRVL,0.3636,1.8678,105381.32
2025-03-20,MRVL,0.3608,1.9083,107392.36
2025-03-21,MRVL,0.3544,2.6093,110194.58
2025-03-24,MRVL,0.3438,1.9048,112293.52
2025-03-25,MRVL,0.3261,-1.1448,111007.95
